image,caption
1056249424_ef2a2e041c.jpg,Two kids are running and playing in some water .
106490881_5a2dd9b7bd.jpg,A boy in his blue swim shorts at the beach .
106490881_5a2dd9b7bd.jpg,A boy smiles for the camera at a beach .
106490881_5a2dd9b7bd.jpg,A young boy in swimming trunks is walking with his arms outstretched on the beach .
106490881_5a2dd9b7bd.jpg,Children playing on the beach .
106490881_5a2dd9b7bd.jpg,The boy is playing on the shore of an ocean .
1067180831_a59dc64344.jpg,A black and white dog is attempting to catch a yellow and purple object in a low cut yard .
1067180831_a59dc64344.jpg,A black and white dog jumps after a yellow toy .
1067180831_a59dc64344.jpg,a black and white dog jumps to get the Frisbee .
1067180831_a59dc64344.jpg,A black dog is jumping up to catch a purple and green toy .
1067180831_a59dc64344.jpg,A dog jumps to catch a toy .
107582366_d86f2d3347.jpg,A group of eight people are gathered around a table at night .
107582366_d86f2d3347.jpg,A group of people gathered around in the dark .
107582366_d86f2d3347.jpg,A group of people sit around a table outside on a porch at night .
107582366_d86f2d3347.jpg,A group of people sit outdoors together at night .
107582366_d86f2d3347.jpg,A group of people sitting at a table in a darkened room .
1075867198_27ca2e7efe.jpg,A man in a brown shirt and dark shorts plays on the beach with his two black dogs .
1075867198_27ca2e7efe.jpg,A man in shorts with two black dogs holds a ball throwing toy at the beach .
1075867198_27ca2e7efe.jpg,a man playing with two black dogs on the beach
1075867198_27ca2e7efe.jpg,A man with two dogs on a beach
1075867198_27ca2e7efe.jpg,Man at the beach with two dogs .
1075881101_d55c46bece.jpg,a boy cleans the bubbles off his face .
1075881101_d55c46bece.jpg,A boy covered in suds has his face wiped clean .
1075881101_d55c46bece.jpg,A boy is covered in bubbles .
1075881101_d55c46bece.jpg,A child covered in foam is climbing on a black inflatable ramp .
1075881101_d55c46bece.jpg,A person covered in soapy water is getting cleaned off .
1079274291_9aaf896cc1.jpg,A little boy sticks his tongue out for the camera . Another boy looks on .
1079274291_9aaf896cc1.jpg,Two boys make faces .
1079274291_9aaf896cc1.jpg,"Two young boys are looking at the camera , one smiling , the other sticking his tongue out ."
1079274291_9aaf896cc1.jpg,Two young boys look up at the camera as one sticks out his tongue .
1079274291_9aaf896cc1.jpg,two young boys making silly faces .
1084040636_97d9633581.jpg,A closeup of a white dog that is laying its head on its paws .
1084040636_97d9633581.jpg,a large white dog lying on the floor .
1084040636_97d9633581.jpg,A white dog has its head on the ground .
1084040636_97d9633581.jpg,A white dog is resting its head on a tiled floor with its eyes open .
1084040636_97d9633581.jpg,A white dog rests its head on the patio bricks .
1088767354_2acee738cf.jpg,A woman in a red costume to the left of a man and woman standing together .
1088767354_2acee738cf.jpg,A woman wearing a red costume looks at two other people standing on a street .
1088767354_2acee738cf.jpg,A young woman in a red sequined costume and feather stands on the sidewalk .
1088767354_2acee738cf.jpg,The girl in the salmon colored bikini is standing next to two young people ; one is wearing a black outfit and the other is drinking pop .
1088767354_2acee738cf.jpg,Two young people are approached by a flamboyant young woman dressed in a red bikini and a red feathered headress .
1089755335_0bfbfd30e6.jpg,A mother and children is fishing on a boardwalk at night .
1089755335_0bfbfd30e6.jpg,A woman and three children stand on a deck with a fishing pole .
1089755335_0bfbfd30e6.jpg,A woman stands with children on a boardwalk at night overlooking the sea .
1089755335_0bfbfd30e6.jpg,Some people on a pier at night with one girl fishing off it .
1089755335_0bfbfd30e6.jpg,Woman with three children fishing over boardwalk in the evening .
1093737381_b313cd49ff.jpg,A woman in a blue dress stands with a chalk portrait of two children playing by a stream .
1093737381_b313cd49ff.jpg,A woman standing in front of a chalk drawing
1093737381_b313cd49ff.jpg,A woman stands next to a chalk drawing in front of a barn-like structure .
1093737381_b313cd49ff.jpg,A woman stands outside near an elaborate chalk illustration .
1093737381_b313cd49ff.jpg,A woman wearing a blue dress is drawing a picture of a boy and a girl on the sidewalk with sidewalk chalk .
1094462889_f9966dafa6.jpg,A brown dog plays in a deep pile of snow .
1094462889_f9966dafa6.jpg,A dog looking at the camera in snow .
1094462889_f9966dafa6.jpg,a dog runs through the snow .
1094462889_f9966dafa6.jpg,A tan dog stand in the snow and looks up .
1094462889_f9966dafa6.jpg,The brown dog is out in the snow .
1095980313_3c94799968.jpg,A little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach .
1095980313_3c94799968.jpg,A little girl with arms outstretched is posing at the beach .
1095980313_3c94799968.jpg,A young girl walks on a railing in front of the beach .
1095980313_3c94799968.jpg,Little girl in blue swimsuit standing on a handrail near a beach .
1095980313_3c94799968.jpg,The little girl in the blue bathing suit is posing at the beach .
1096395242_fc69f0ae5a.jpg,A boy with a toy gun .
1096395242_fc69f0ae5a.jpg,A little boy in orange shorts playing with a toy .
1096395242_fc69f0ae5a.jpg,A young boy with his foot outstretched aims a toy at the camera in front of a fireplace .
1096395242_fc69f0ae5a.jpg,A young child plays with his new light-up toy .
1096395242_fc69f0ae5a.jpg,Boy with toy gun pointed at the camera .
109671650_f7bbc297fa.jpg,A boy in yellow shorts is standing on top of a cliff .
109671650_f7bbc297fa.jpg,A boy wearing blue and yellow walking on a cliff edge .
109671650_f7bbc297fa.jpg,A little boy standing high in the air on a rock .
109671650_f7bbc297fa.jpg,A young child is standing alone on some jagged rocks .
109671650_f7bbc297fa.jpg,Child stands near edge of cliff .
109823394_83fcb735e1.jpg,Three people drive ATVs .
109823394_83fcb735e1.jpg,Three people on ATVs in a brown field turn their heads to look at the camera .
109823394_83fcb735e1.jpg,Three people on ATV 's outside .
109823394_83fcb735e1.jpg,three people on four wheel ATV 's in a field .
109823394_83fcb735e1.jpg,Three people ride their four wheelers through the field .
109823397_e35154645f.jpg,A man jumps gin the air while riding an ATV
109823397_e35154645f.jpg,A man on a four-wheeler jumps near a small building .
109823397_e35154645f.jpg,An ATV is airborne over a field in front of a white structure .
109823397_e35154645f.jpg,A person dressed in a tan jacket jumps a quad over a harvested cornfield in front of a small out building .
109823397_e35154645f.jpg,Man on four wheeler in the air .
1104133405_c04a00707f.jpg,A boy carrying a soccer ball .
1104133405_c04a00707f.jpg,A boy walks with a ball tucked under his arm .
1104133405_c04a00707f.jpg,A boy walks with a soccer ball near a fence .
1104133405_c04a00707f.jpg,A boy wearing a white t-shirt walks on the grass and carries a soccer ball .
1104133405_c04a00707f.jpg,Small boy carries a soccer ball on a field .
1105959054_9c3a738096.jpg,A child painting a picture .
1105959054_9c3a738096.jpg,An artist paints clouds onto a canvas .
1105959054_9c3a738096.jpg,A young girl painting a picture .
1105959054_9c3a738096.jpg,A young girl with braids is painting with water colors on a white paper on the wall .
1105959054_9c3a738096.jpg,The child paints on a large paper with water colors .
1110208841_5bb6806afe.jpg,A black and white Border Collie catches a Frisbee in front of an audience .
1110208841_5bb6806afe.jpg,a brown and white dog catches a Frisbee in it mouth in front of a group of people .
1110208841_5bb6806afe.jpg,A brown and white dug jumping up to catch a Frisbee while an audience watches .
1110208841_5bb6806afe.jpg,"A dog jumps to catch a Frisbee , while many people watch ."
1110208841_5bb6806afe.jpg,An agile dog catches a Frisbee while a crowd of onlookers watches closely .
1112212364_0c48235fc2.jpg,A baby is sitting on and playing with smooth rocks .
1112212364_0c48235fc2.jpg,A baby is stacking rocks on the beach .
1112212364_0c48235fc2.jpg,A small boy is playing with rocks
1112212364_0c48235fc2.jpg,A toddler sitting on a pile of rocks holding a rock at a beach .
1112212364_0c48235fc2.jpg,Toddler sits on a pile of rocks .
1115679311_245eff2f4b.jpg,A black dog is jumping over a log along a beach .
1115679311_245eff2f4b.jpg,A black dog runs along the beach and jumps over a wood barrior .
1115679311_245eff2f4b.jpg,A dog is running on the beach .
1115679311_245eff2f4b.jpg,a dog jumping over a small wall at a beach near the water .
1115679311_245eff2f4b.jpg,An animal is running on the beach .
1129704496_4a61441f2c.jpg,A brown and white and a black and white dog hauling in a floating toy from the ocean .
1129704496_4a61441f2c.jpg,Both dogs retrieve the play toy from the water .
1129704496_4a61441f2c.jpg,Two dogs in the ocean playing with a toy
1129704496_4a61441f2c.jpg,Two dogs run through the water with a rope in their mouths .
1129704496_4a61441f2c.jpg,Two dogs tug at a chew toy in the surf .
1141718391_24164bf1b1.jpg,"A bridge through high green plants , a man and a woman on it ."
1141718391_24164bf1b1.jpg,A man and a woman are crossing over a rope bridge with greenery all over them .
1141718391_24164bf1b1.jpg,A man and a woman are walking across a rope bridge .
1141718391_24164bf1b1.jpg,A man and a woman crossing a suspension bridge in a tropical setting .
1141718391_24164bf1b1.jpg,Woman and man walking across wooden rope bridge with a caution sign beside it .
1141739219_2c47195e4c.jpg,A family gathered at a painted van
1141739219_2c47195e4c.jpg,A girl climbing down from the side of a bright blue truck while others watch .
1141739219_2c47195e4c.jpg,A man is helping a girl step down from a colorful truck whilst a woman and three children watch .
1141739219_2c47195e4c.jpg,A very colorful bus is pulled off to the side of the road as its passengers load .
1141739219_2c47195e4c.jpg,Two women and four children standing next to a brightly painted truck .
116409198_0fe0c94f3b.jpg,A man eats near a tent in the snow .
116409198_0fe0c94f3b.jpg,A man sitting near a tent in the snow and ice .
116409198_0fe0c94f3b.jpg,A mountaineer sits in the snow in front of a yellow tent under clear blue sky .
116409198_0fe0c94f3b.jpg,Person wearing a hooded jacket sitting on snow in front of a yellow tent .
116409198_0fe0c94f3b.jpg,Young man in hooded jacket sitting on snow in mountain area .
1174525839_7c1e6cfa86.jpg,A girl in blue is jumping on the shore as small waves approach her .
1174525839_7c1e6cfa86.jpg,A girl leaps into the air while standing by the ocean .
1174525839_7c1e6cfa86.jpg,"A young , long-haired , girl on the beach , is jumping in the air ."
1174525839_7c1e6cfa86.jpg,The girl is running into the ocean from the shore .
1174525839_7c1e6cfa86.jpg,The girls is jumping into the air on the beach .
1174629344_a2e1a2bdbf.jpg,A crowd of people walk down a busy sidewalk .
1174629344_a2e1a2bdbf.jpg,A group of different people are walking in all different directions in a city .
1174629344_a2e1a2bdbf.jpg,A group of people walking a city street in warm weather .
1174629344_a2e1a2bdbf.jpg,Busy intersection in the summer time in a city
1174629344_a2e1a2bdbf.jpg,People in summer clothes are walking on the sidewalk of a large city .
1191338263_a4fa073154.jpg,A little old lady sitting next to an advertisement .
1191338263_a4fa073154.jpg,An Asian woman waiting at an underground train stop .
1191338263_a4fa073154.jpg,An old woman sits in a transit station next to a backlit advertisement .
1191338263_a4fa073154.jpg,A woman sits in a subway station .
1191338263_a4fa073154.jpg,"A woman with an umbrella is sitting at a station , with an Aquos commercial on the wall ."
1193116658_c0161c35b5.jpg,A girl rides a unicycle as another rides a scooter next to her .
1193116658_c0161c35b5.jpg,A girl rides a unicycle with a child who rides a scooter .
1193116658_c0161c35b5.jpg,A young girl rides a unicycle next to another riding a scooter on a busy street .
1193116658_c0161c35b5.jpg,The girl on the unicycle reaches out for the child on the scooter .
1193116658_c0161c35b5.jpg,There is a girl on a unicycle and a child on a scooter .
119534510_d52b3781a3.jpg,A man in a brown shirt sitting on a dock and reading .
119534510_d52b3781a3.jpg,"A man is sitting next to the water , reading ."
119534510_d52b3781a3.jpg,A man reading a book on the dock near a post .
119534510_d52b3781a3.jpg,A person in a brown jacket is sitting on a pier by the water reading .
119534510_d52b3781a3.jpg,Person sitting on concrete landing next to body of water
1204996216_71d7519d9a.jpg,A boy lays on a picnic table bench .
1204996216_71d7519d9a.jpg,A child is laying down on a wooden bench .
1204996216_71d7519d9a.jpg,A child is on a bench with arms stretched out .
1204996216_71d7519d9a.jpg,A little boy in a red shirt sitting on a wooden picnic table bench .
1204996216_71d7519d9a.jpg,A little boy lies down on a picnic table bench .
1213336750_2269b51397.jpg,A man in a black jacket is taking a photo of a man in a red jacket .
1213336750_2269b51397.jpg,A man in a black outfit is taking a photograph of a man in a red jacket .
1213336750_2269b51397.jpg,A man takes a picture of another man in an open area just off of a busy street .
1213336750_2269b51397.jpg,A young man taking a picture of another young man outdoors
1213336750_2269b51397.jpg,Young man takes picture of another young man in front of church .
1215334959_b1970965f7.jpg,A family sits on a bench near a beach .
1215334959_b1970965f7.jpg,A family sits on a bench overlooking the beach .
1215334959_b1970965f7.jpg,"A man , woman , girl , and boy sit on a concrete bench by a beach ."
1215334959_b1970965f7.jpg,Family sitting on a bench near the beach .
1215334959_b1970965f7.jpg,Taking a break while vacationing at the beach
121971540_0a986ee176.jpg,two men cleaning the outside windows of a yacht
121971540_0a986ee176.jpg,Two men climb the side of a boat .
121971540_0a986ee176.jpg,Two men on the side of a barge
121971540_0a986ee176.jpg,Two people outside cleaning windows while on a ledge of a boat .
121971540_0a986ee176.jpg,Two people stand on the side of a large white and red boat .
1222322358_225067636e.jpg,A boy in a red and white shirt is on a swing .
1222322358_225067636e.jpg,A child looking back on a fast moving swing .
1222322358_225067636e.jpg,A litlle boy playing on a swing
1222322358_225067636e.jpg,A young boy in orange and white swings in a playground at a park .
1222322358_225067636e.jpg,A young boy plays on a swing .
1229756013_94663527d7.jpg,A brown dog jumping in the air on a brown plain .
1229756013_94663527d7.jpg,A brown dog jumping into the air to catch a ball .
1229756013_94663527d7.jpg,A brown dog leaping to catch a ball .
1229756013_94663527d7.jpg,A coppery dog leaps to catch a ball .
1229756013_94663527d7.jpg,A dog leaps into the air in a grassy field surrounded by trees .
1240297429_c36ae0c58f.jpg,A dog in a number six jersey is running through a field .
1240297429_c36ae0c58f.jpg,A dog is leaping through the grass .
1240297429_c36ae0c58f.jpg,A dog is wearing a red number 6 and running through a field of green grass while being chased by a bird .
1240297429_c36ae0c58f.jpg,A white and tan dog leaps through the air .
1240297429_c36ae0c58f.jpg,The dog in a vest leaps in the air and there is a bird flying .
124195430_d14028660f.jpg,A brown horse and a black foal on the beach
124195430_d14028660f.jpg,A brown horse stands near a black horse that is sitting on the ground .
124195430_d14028660f.jpg,A large brown horse stands over a small black colt that is kneeling on the sand .
124195430_d14028660f.jpg,An adult horse approaching a foal on a sandy plain .
124195430_d14028660f.jpg,A thin brown horse standing and a small black horse sitting on sand .
1248940539_46d33ed487.jpg,Three children are playing in sand near to the beach .
1248940539_46d33ed487.jpg,Three children playing in sand at beach
1248940539_46d33ed487.jpg,Three girls play in the sand .
1248940539_46d33ed487.jpg,"Three little blond girls , two in blue , one in pink , play on a sunny beach ."
1248940539_46d33ed487.jpg,Three young girls dance on the beach in the sand .
1255504166_f2437febcb.jpg,A boy playing in a lake
1255504166_f2437febcb.jpg,A child is splashing in the water
1255504166_f2437febcb.jpg,A little boy is playing in the water with a beautiful sunset and mountains in the background .
1255504166_f2437febcb.jpg,A small child in water with a splash encircling him while the white clouds float over the mountains .
1255504166_f2437febcb.jpg,A young boy plays in the water with the mountains in the background .
1262454669_f1caafec2d.jpg,A girl in a white shirt is sitting on a park bench with a dog next to her .
1262454669_f1caafec2d.jpg,A woman eats on a bench while a brown and white leashed dog stands next to her .
1262454669_f1caafec2d.jpg,a woman is sitting on a bench with a latte in her lap and a white dog on a blue leash to her side .
1262454669_f1caafec2d.jpg,A woman sits on a bench at the park with her dog in front of her .
1262454669_f1caafec2d.jpg,Woman sitting on bench and holding the leash of a large white and brown dog .
1271210445_7f7ecf3791.jpg,girls seated at table with a candle covered with lit candles
1271210445_7f7ecf3791.jpg,A birthday celebration taking place for a girl who has reached age 5 .
1271210445_7f7ecf3791.jpg,Boy and his family celebrating his birthday with a brightly lit cake .
1271210445_7f7ecf3791.jpg,Smiling children gathered around a birthday cake
1271210445_7f7ecf3791.jpg,"Woman and four little girls , near cake with candles ."
1273001772_1585562051.jpg,About 12 kids and a few adults get splashed by an off camera source .
1273001772_1585562051.jpg,A group of children are in a water fountain .
1273001772_1585562051.jpg,A group of children standing in a shallow pool of water .
1273001772_1585562051.jpg,A group of young kids play in the water on a sunny day .
1273001772_1585562051.jpg,Children and adults play with a sprinkler .
127490019_7c5c08cb11.jpg,A girl is getting ready to swing the club .
127490019_7c5c08cb11.jpg,A woman in shorts and a blue sleeveless shirt leans over a golf club .
127490019_7c5c08cb11.jpg,A woman is taking a swing with a golf club .
127490019_7c5c08cb11.jpg,A woman wearing a blue shirt and hat with khaki shorts plays golf .
127490019_7c5c08cb11.jpg,A woman wearing blue begins a golf swing .
12830823_87d2654e31.jpg,Children sit and watch the fish moving in the pond
12830823_87d2654e31.jpg,people stare at the orange fish .
12830823_87d2654e31.jpg,Several people are standing near a fish pond .
12830823_87d2654e31.jpg,Some children watching fish in a pool .
12830823_87d2654e31.jpg,There are several people and children looking into water with a blue tiled floor and goldfish .
1287475186_2dee85f1a5.jpg,A boy sitting in water .
1287475186_2dee85f1a5.jpg,A small boy is sitting in the water and water is splashing up through his legs .
1287475186_2dee85f1a5.jpg,A young boy in a swimming suit sits in water .
1287475186_2dee85f1a5.jpg,A young boy sitting on a water jet in a pool .
1287475186_2dee85f1a5.jpg,Little boy sitting in water with a fountain coming up through his lap .
1287931016_fb015e2e10.jpg,A black and a white dog on the snow .
1287931016_fb015e2e10.jpg,A black dog and a white dog are standing on snow .
1287931016_fb015e2e10.jpg,"Two dogs , one black and one white , face the camera in a field of snow ."
1287931016_fb015e2e10.jpg,Two dogs standing in the snow .
1287931016_fb015e2e10.jpg,two dogs stand in the snow .
1287982439_6578006e22.jpg,A big brown dog is jumping in the water and has his mouth wide open .
1287982439_6578006e22.jpg,A brown dog barks over its shoulder in the water .
1287982439_6578006e22.jpg,A dog jumping in the water at a beack .
1287982439_6578006e22.jpg,A dog runs through the water as he looks up at the sky with his mouth open .
1287982439_6578006e22.jpg,A dog with a collar running through the water
1289142574_2bd6a082dd.jpg,A boy jumps from one picnic table to another .
1289142574_2bd6a082dd.jpg,A boy jumps from one table to another at a park .
1289142574_2bd6a082dd.jpg,A child is walking from one picnic table to another .
1289142574_2bd6a082dd.jpg,A young boy is running on picnic tables at a park .
1289142574_2bd6a082dd.jpg,The boy hops from one picnic table to the other in the park .
129599450_cab4e77343.jpg,A backpacker in the mountains wearing an american flag .
129599450_cab4e77343.jpg,A hiker carring an American flag .
129599450_cab4e77343.jpg,A hiker with an American flag on his backpack walks through the woods .
129599450_cab4e77343.jpg,A man is hiking on a mountain path with an American flag on his backpack .
129599450_cab4e77343.jpg,A person hikes on a mountain .
1299459562_ed0e064aee.jpg,"Three boys in baggy bathing suits play in splashing water in front a of grey , block wall ."
1299459562_ed0e064aee.jpg,three boys in size order getting wet next to a wall
1299459562_ed0e064aee.jpg,Three boys play in a spray of water .
1299459562_ed0e064aee.jpg,Three boys playing in some water .
1299459562_ed0e064aee.jpg,Three shirtless boys are playing in the water .
1313961775_824b87d155.jpg,A girl floating wearing a life vest .
1313961775_824b87d155.jpg,A girl wearing a life vest floats in water .
1313961775_824b87d155.jpg,A young girl floats on her back in water and peers over her life jacket .
1313961775_824b87d155.jpg,a young girl wearing a bulky red life jacket floating in a lake .
1313961775_824b87d155.jpg,The little girl is wearing a floating device in the water .
1322323208_c7ecb742c6.jpg,A boy and a girl playing on the beach .
1322323208_c7ecb742c6.jpg,A small boy and girls are playing in the sand on the beach .
1322323208_c7ecb742c6.jpg,"Two children , one of which is holding a stick , are standing on the beach as the sun begins to set ."
1322323208_c7ecb742c6.jpg,Two children on the beach silhouetted by the setting sun .
1322323208_c7ecb742c6.jpg,Two young children playing with sticks at the beach .
1329832826_432538d331.jpg,"People stand on a street corner at dusk , with a pharmacy in the background ."
1329832826_432538d331.jpg,People stand outside of the Rite Aid pharmacy on Broadway .
1329832826_432538d331.jpg,People waiting to cross the street in front of a pharmacy with lit up sign .
1329832826_432538d331.jpg,Some people look to cross the street in front of a drug store .
1329832826_432538d331.jpg,This is a picture of a Broadway Rite Aid Pharmacy that has a bright neon sign and people are prepared to cross the street in front of it .
1338523142_57fce8229b.jpg,A backpacker walks down a rocky mountain .
1338523142_57fce8229b.jpg,A hiker walks down a rocky path towards land with water .
1338523142_57fce8229b.jpg,A man with a black and blue backpack hikes down a rock face .
1338523142_57fce8229b.jpg,Hiker climbing down a snow and rock covered mountain .
1338523142_57fce8229b.jpg,The man climbs through the rocks and snow .
1346051107_9cdc14e070.jpg,A man is playing a saxophone next to a fire hydrant .
1346051107_9cdc14e070.jpg,A man plays saxophone next to a yellow fire hydrant .
1346051107_9cdc14e070.jpg,A man stands by a wall playing a saxophone .
1346051107_9cdc14e070.jpg,Man playing musical instrument standing beside a yellow and red fire hydrant
1346051107_9cdc14e070.jpg,The man is standing next to a fire hydrant and playing a saxophone .
1347519824_e402241e4f.jpg,A few girls with green foam statue of liberty hats on a train
1347519824_e402241e4f.jpg,Some young adults are wearing green foam statute of liberty crowns .
1347519824_e402241e4f.jpg,Some young people take photos of each other while in New York .
1347519824_e402241e4f.jpg,Three woman with statue of liberty hats and taking a picture .
1347519824_e402241e4f.jpg,Two woman wearing statue of liberty hats get their picture taken in a subway .
1348113612_5bfc5f429e.jpg,A black and white dog jumping into a pool after tennis balls .
1348113612_5bfc5f429e.jpg,a black and white dog jumping into a pool with a lot of tennis balls in it .
1348113612_5bfc5f429e.jpg,A black dog jumps into a pool that has many yellow balls in it .
1348113612_5bfc5f429e.jpg,A dog jumps into a swimming pool to retrieve some floating tennis balls .
1348113612_5bfc5f429e.jpg,A dog swims in a pool .
1348891916_ebd4413033.jpg,A brown dog on a leash runs through the white water .
1348891916_ebd4413033.jpg,A soaked dog is playing in the water .
1348891916_ebd4413033.jpg,A tan dog on a leash running in shallow ocean water .
1348891916_ebd4413033.jpg,A wet dog on a leash is running through some water .
1348891916_ebd4413033.jpg,Brown dog running through shallow water .
1348947380_14f0fc1237.jpg,A man and a dog stand on a hill overlooking water .
1348947380_14f0fc1237.jpg,a man walks his dog near the ocean .
1348947380_14f0fc1237.jpg,an elderly man is walking a brown dog using a red leash .
1348947380_14f0fc1237.jpg,An elderly man takes his dog for a walk near the water .
1348947380_14f0fc1237.jpg,An old man holding a camera while walking a small brown dog .
1348957576_c4a78eb974.jpg,A blonde woman in a white tank top and sunglasses is talking to a man sitting next to boats on a rock surface .
1348957576_c4a78eb974.jpg,A man and a woman are sitting on the ground and surrounded by boats .
1348957576_c4a78eb974.jpg,A man and a woman sitting near small boats .
1348957576_c4a78eb974.jpg,The man and woman are sitting by the boats .
1348957576_c4a78eb974.jpg,Two people sitting beside a few small boats .
1351764581_4d4fb1b40f.jpg,A firefighter extinguishes a fire under the hood of a car .
1351764581_4d4fb1b40f.jpg,a fireman spraying water into the hood of small white car on a jack
1351764581_4d4fb1b40f.jpg,"A fireman sprays inside the open hood of small white car , on a jack ."
1351764581_4d4fb1b40f.jpg,A fireman using a firehose on a car engine that is up on a carjack .
1351764581_4d4fb1b40f.jpg,Firefighter uses water to extinguish a car that was on fire .
1354318519_2f9baed754.jpg,A baby is laughing .
1354318519_2f9baed754.jpg,A baby laughs at his reflection in a mirror .
1354318519_2f9baed754.jpg,A blonde haired toddler in a burgundy hoodie smiling .
1354318519_2f9baed754.jpg,a boy in a red hooded top is smiling whilst looking away from his reflection .
1354318519_2f9baed754.jpg,A child in front of his own reflection turning towards the camera and smiling .
1355703632_5683a4b6fb.jpg,A female softball player making a pitch .
1355703632_5683a4b6fb.jpg,A girl is winding up to throw a softball .
1355703632_5683a4b6fb.jpg,A teenage girl is catching a softball during a game .
1355703632_5683a4b6fb.jpg,Kids playing softball .
1355703632_5683a4b6fb.jpg,Young girl playing softball with white house in background
1361420539_e9599c60ae.jpg,A black dog is running in the grass .
1361420539_e9599c60ae.jpg,A black poodle is running through the grass .
1361420539_e9599c60ae.jpg,A small black dog is in the grass .
1361420539_e9599c60ae.jpg,The black dog is running through the grass .
1361420539_e9599c60ae.jpg,The black dog is walking through the tall grass .
1363924449_487f0733df.jpg,A boy holds his hands on his head .
1363924449_487f0733df.jpg,A child with his hands on his head .
1363924449_487f0733df.jpg,A little boy in a striped shirt has his hands on his head .
1363924449_487f0733df.jpg,A little boy stands with his hands on top of his head
1363924449_487f0733df.jpg,The blond boy wearing a striped shirt is walking through the grass .
136639119_6040b00946.jpg,A climber is attempting to climb around an overhang above the woods .
136639119_6040b00946.jpg,A man climbs up a cliff and reaches an overhang .
136639119_6040b00946.jpg,A man is rock climbing under a large cliff .
136639119_6040b00946.jpg,A person is rock climbing .
136639119_6040b00946.jpg,Climber on rock formation using ropes .
136644885_f7d2bbf546.jpg,A group of people walking across a rope bridge .
136644885_f7d2bbf546.jpg,A woman is crossing a rope bridge .
136644885_f7d2bbf546.jpg,A woman is crossing a rope bridge in the trees with other people waiting at one end .
136644885_f7d2bbf546.jpg,A woman wearing a white shirt and jeans crosses a rope bridge in a wooded area .
136644885_f7d2bbf546.jpg,three people are crossing a rope bridge hung between pine trees .
1368338041_6b4077ca98.jpg,Three dogs looking at a cement ledge .
1368338041_6b4077ca98.jpg,Three dogs on a sidewalk .
1368338041_6b4077ca98.jpg,Three small dogs sniff at somthing .
1368338041_6b4077ca98.jpg,"Three small dogs , two white and one black and white , on a sidewalk ."
1368338041_6b4077ca98.jpg,Two white dogs look at one black dog on a paved walkway .
138705546_be7a6845dd.jpg,Two girls looking out over a lake towards a man fishing .
138705546_be7a6845dd.jpg,Two girls on the shore watch people in a boat fish .
